"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2014,1,19.0915666706585,27.524940915213,3,0,30.8056,"E1 Q1","UG",NA,"E1","Control"
"2","Q1",2014,2,7.95739863284251,0.25,3,0,15.4764487962054,"E1 Q1","UG",NA,"E1","Control"
"3","Q1",2015,2,0.250000000000004,7.95739863284251,4,0,12.496541,"E1 Q1","UG",NA,"E1","Control"
"4","Q19",2007,2,125.729754840122,67.8939492227805,1,0,9.26987099999999,"P7 E1 Q1","UG",NA,"P7E1","Control"
"5","Q19",2007,3,540.256712443432,362.754107313743,1,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"6","Q19",2007,4,195.250537911715,217.36189856249,1,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"7","Q19",2008,2,217.760329461375,125.729754840122,2,0,7.14590099999999,"P7 E1 Q1","UG",NA,"P7E1","Control"
"8","Q19",2008,3,683.553560620507,540.256712443432,2,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"9","Q19",2008,4,324.864068148037,195.250537911715,2,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"10","Q19",2009,1,169.540228408513,142.485545496672,3,0,1.16891099999999,"P7 E1 Q1","UG",NA,"P7E1","Control"
"11","Q19",2009,2,231.576975471064,217.760329461375,3,0,2.396461,"P7 E1 Q1","UG",NA,"P7E1","Control"
"12","Q19",2009,3,280.504457673631,683.553560620507,3,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"13","Q19",2009,4,378.274590474767,324.864068148037,3,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"14","Q19",2010,1,171.619178411954,169.540228408513,4,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"15","Q19",2010,2,299.374764987149,231.576975471064,4,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"16","Q19",2010,3,318.138752868593,280.504457673631,4,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"17","Q19",2010,4,324.154787043757,378.274590474767,4,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"18","Q19",2011,1,85.247371042746,171.619178411954,5,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"19","Q19",2011,2,292.326169075649,299.374764987149,5,0,4.994832,"P7 E1 Q1","UG",NA,"P7E1","Control"
"20","Q19",2011,3,406.458427885378,318.138752868593,5,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"21","Q19",2011,4,103.348783001933,324.154787043757,5,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"22","Q19",2012,1,47.4408525082445,85.247371042746,6,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"23","Q19",2012,2,400.645974671233,292.326169075649,6,0,3.05201600000001,"P7 E1 Q1","UG",NA,"P7E1","Control"
"24","Q19",2012,3,427.302297963722,406.458427885378,6,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"25","Q19",2012,4,286.587163604736,103.348783001933,6,0,0.0141249999999928,"P7 E1 Q1","UG",NA,"P7E1","Control"
"26","Q19",2013,1,171.556114522579,47.4408525082445,7,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"27","Q19",2013,2,492.01907013981,400.645974671233,7,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"28","Q19",2013,3,482.028170211836,427.302297963722,7,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"29","Q19",2013,4,183.008225952889,286.587163604736,7,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"30","Q19",2014,1,151.627519414876,171.556114522579,8,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"31","Q19",2014,2,493.485409734544,492.01907013981,8,0,0.576719999999995,"P7 E1 Q1","UG",NA,"P7E1","Control"
"32","Q19",2014,3,432.214893520995,482.028170211836,8,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"33","Q19",2014,4,390.058518751451,183.008225952889,8,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"34","Q19",2015,1,209.614984278238,151.627519414876,9,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"35","Q19",2015,2,576.497935932541,493.485409734544,9,0,0.604009000000005,"P7 E1 Q1","UG",NA,"P7E1","Control"
"36","Q19",2015,3,1026.75387424072,432.214893520995,9,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"37","Q19",2015,4,386.512057443075,390.058518751451,9,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"38","Q2",2007,1,126.631555354752,115.838580234405,1,0,1.053361,"E1 Q2","UG",NA,"E1","Control"
"39","Q2",2007,3,31.9008,16.738732941652,1,1,0,"E1 Q2","UG",NA,"E1","Control"
"40","Q2",2007,4,178.877898476612,187.487930855062,1,0,13.55495,"E1 Q2","UG",NA,"E1","Control"
"41","Q2",2007,6,206.162260283146,61.42312106011,1,0,0,"E1 Q2","UG",NA,"E1","Control"
