"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2007,1,43.1005824503815,170.180804534591,1,0,0,"E1 Q1","UG",NA,"E1","Control"
"2","Q1",2007,11,6.699740706614,0.25,1,0,15.867847,"E1 Q1","UG",NA,"E1","Control"
"3","Q1",2007,12,0.5,0.25,1,0,21.582858,"E1 Q1","UG",NA,"E1","Control"
"4","Q1",2007,2,34.044582362038,26.9677134134685,1,0,5.03089199999999,"E1 Q1","UG",NA,"E1","Control"
"5","Q1",2007,4,23.6775871000755,57.580312744695,1,0,1.402817,"E1 Q1","UG",NA,"E1","Control"
"6","Q1",2007,5,0.25,19.7233033386635,1,0,32.103197,"E1 Q1","UG",NA,"E1","Control"
"7","Q1",2007,6,19.4956422692455,28.6379368372655,1,0,1.959452,"E1 Q1","UG",NA,"E1","Control"
"8","Q1",2007,7,4.30755032694247,5.1023532479965,1,1,0,"E1 Q1","UG",NA,"E1","Control"
"9","Q1",2007,8,0.25,0.25,1,1,1.368651,"E1 Q1","UG",NA,"E1","Control"
"10","Q1",2007,9,0.25,0.25,1,1,1.791985,"E1 Q1","UG",NA,"E1","Control"
"11","Q1",2008,1,122.280927460094,43.1005824503815,2,0,0.810159,"E1 Q1","UG",NA,"E1","Control"
"12","Q1",2008,12,21.5089806314675,0.5,2,0,21.192338,"E1 Q1","UG",NA,"E1","Control"
"13","Q1",2008,16,0.25,0.25,1,0,13.859489,"E1 Q1","UG",NA,"E1","Control"
"14","Q1",2008,17,0.25,0.25,1,0,22.778468,"E1 Q1","UG",NA,"E1","Control"
"15","Q1",2008,2,15.9924733261355,34.044582362038,2,0,9.660408,"E1 Q1","UG",NA,"E1","Control"
"16","Q1",2008,4,17.3455483325175,23.6775871000755,2,0,0,"E1 Q1","UG",NA,"E1","Control"
"17","Q1",2008,5,68.421739178671,0.25,2,0,32.266439,"E1 Q1","UG",NA,"E1","Control"
"18","Q1",2008,6,23.2265242176475,19.4956422692455,2,0,3.262739,"E1 Q1","UG",NA,"E1","Control"
"19","Q1",2008,7,4.9850469627765,4.30755032694247,2,1,0,"E1 Q1","UG",NA,"E1","Control"
